"","id","sex","trans_group","relocs","homing_bin","homing_prop","track.time","track.daytime","dist_cumul","area","sc","mean_temp","cumul_rain"
"1","af17_1","female","50m",61,0,-0.121840490139111,74.4166666666667,38.4166666666667,18.6825564005922,231.020364826831,-0.412091735616147,24.1941153846154,99.794
"2","af17_10","female","200m",82,0,-0.00357078989106019,137.75,65.75,20.0788426994515,213.286180946881,-0.0356389606594261,24.2726744505495,15.756
"3","af17_11","male","200m",91,1,0.923468840797212,98.0166666666667,50.0166666666667,194.953652148554,1967.1482441334,0.919352573499323,24.3330115384615,15.554
"4","af17_14","female","200m",91,0,-0.00777740253850756,121.75,61.75,120.571066622382,709.856569501815,-0.0130028137816783,24.2127019230769,158.368
"5","af17_15","male","200m",76,1,0.969895918223238,71.7666666666667,35.7666666666667,335.806061534246,3066.37708295135,0.577621823950935,24.1983461538462,142.208
"6","af17_18","female","200m",76,0,0.0349039148900872,120.716666666667,60.7166666666667,102.244741761472,423.690363200934,0.0696765899545698,24.3683076923077,40.804
"7","af17_19","male","200m",44,1,0.971909264485928,65.1833333333333,29.1833333333333,208.188090911027,2094.00713108527,0.921539912016582,24.4934350961538,27.472
"8","af17_20","female","200m",76,0,-0.0848643335867687,120.05,60.05,72.4200257003893,348.545370424901,-0.236242869587942,24.1805128205128,55.348
"9","af17_21","male","200m",59,1,0.943557083245639,70.2,34.2,233.153595435105,2097.42580408857,0.792007891195948,24.1797331730769,29.492
"10","af17_22","female","50m",56,0,-0.31778111062726,73.45,37.45,30.540912859065,317.078711913855,-0.486476199718886,24.0867836538462,46.056
"11","af17_23","male","50m",6,1,0.916031748599684,1.8,1.8,46.6812387101778,544.210799912573,0.954377381751664,24.0040769230769,8.888
"12","af17_24","female","50m",37,1,0.808345251444296,50.1333333333333,26.1333333333333,49.3401445448479,558.631464020649,0.853403581418368,24.1406955128205,20.806
"13","af17_26","male","50m",9,1,0.807327056799893,2.13333333333333,2.13333333333333,40.9008268494903,485.505557978642,0.95631933795242,24.3353269230769,2.424
"14","af17_27","female","50m",55,1,0.809342488457383,72.1,36.1,53.5721045158997,552.978330240789,0.771344815849219,23.7998774038461,63.02
"15","af17_28","male","50m",5,1,0.873052029177493,1.4,1.4,47.4525926938791,552.836852682813,0.940313836737465,24.1078461538462,7.07
"16","af17_29","female","50m",38,1,0.817962004037157,48.9333333333333,24.9333333333333,47.1112383315552,487.915914511073,0.903197492295243,23.6972211538461,55.95
"17","af17_3","female","50m",13,1,0.762499210108756,20.8666666666667,8.86666666666667,50.6119826507418,570.303430387848,0.851236467430987,23.8855096153846,86.868
"18","af17_30","male","50m",6,1,0.967400629238597,15.4666666666667,3.46666666666667,49.8030584348867,550.02189288009,NA,23.7671346153846,51.91
"19","af17_31","female","200m",101,0,0.108478717683731,143.816666666667,71.8166666666667,145.455226271989,1039.94976532322,0.15069127998357,24.318739010989,46.662
"20","af17_32","male","200m",116,1,0.959546315558777,139.316666666667,67.3166666666667,451.740187432407,3523.38000337843,0.428066478219427,24.318739010989,46.662
"21","af17_33","female","200m",88,0,-0.00566040462893946,122.033333333333,62.0333333333333,58.1360214261625,258.876225873939,-0.0194237427192201,24.5846810897436,94.738
"22","af17_34","male","200m",104,0,0.0592949161463274,121.866666666667,61.8666666666667,91.0076233787719,426.407106858987,0.130641213597191,24.5846810897436,94.738
"23","af17_4","male","50m",6,1,0.877680481552757,15.1833333333333,3.18333333333333,50.0999006974931,578.464212982464,NA,23.8855096153846,86.868
"24","af17_5","male","50m",29,1,0.841413426671542,26.1666666666667,14.1666666666667,56.1956253055376,593.169276490267,0.732930976837118,24.0380673076923,93.936
"25","af17_6","female","50m",82,1,0.783852686770899,94.9,46.9,57.5283002462351,600.805846859133,0.715867962483478,24.5878865384615,20.402
"26","af17_7","male","50m",29,1,0.758202895729865,26.3333333333333,14.3333333333333,35.3840596991463,425.209306209115,0.966608934890803,24.3501634615385,5.858
"27","af17_8","female","200m",105,0,0.0290603019146305,143.516666666667,71.5166666666667,137.44951743311,532.724819547289,0.0428140999231777,24.2531711538462,78.776
"28","af17_9","male","200m",53,1,0.969541393908728,50.65,26.65,268.638338717843,2336.86312049394,0.697389455003541,24.2076634615385,63.02
"29","af20_1","female","50m",65,0,0.136536858808208,89.6666666666667,41.6666666666667,15.8893990044937,175.169153796189,0.476969588087145,25.2767576923077,26.866
"30","af20_10","male","200m",96,1,0.622282855048481,143.333333333333,71.3333333333333,163.863792911725,1581.29472723547,0.783730397607831,25.2599375,18.786
"31","af20_11","female","200m",80,0,0.00874425335862827,136.633333333333,64.6333333333333,26.8715617211055,156.083297695903,0.0649302331222081,25.2120288461538,12.12
"32","af20_12","male","200m",98,1,0.662648770498389,136.466666666667,64.4666666666667,164.91242990778,1589.01624987499,0.807795692608352,25.2120288461538,12.12
"33","af20_13","female","50m",47,0,-0.0372510712530174,88.5166666666667,40.5166666666667,6.31165952863794,107.146866006682,-0.286768455609484,25.1832673076923,9.696
"34","af20_14","male","50m",47,0,0.295485181624208,89.0166666666667,41.0166666666667,29.2879060055039,283.590392996948,0.567148700257938,25.1832673076923,9.696
"35","af20_17","male","200m",20,1,0.991495948250758,22.8833333333333,10.8833333333333,223.387137393456,2237.61446715146,0.879085133858921,24.4512427884615,66.458
"36","af20_19","male","50m",9,1,0.891961397745474,14.5166666666667,2.51666666666667,50.7003837832228,554.651914389091,0.889892676827346,24.5838100961539,14.544
"37","af20_2","female","50m",34,1,0.733994947563761,26.9833333333333,14.9833333333333,62.795219258271,552.508406198159,0.595227576404638,24.38221875,4.242
"38","af20_20","female","50m",28,1,0.643277695969366,26.05,14.05,44.1479212109953,504.588344208314,0.805024194784705,24.5838100961539,14.544
"39","af20_24","female","200m",69,0,-0.0149614177169979,136.166666666667,64.1666666666667,25.4900228877656,172.837373832757,-0.11950163126816,24.564345467033,92.718
"40","af20_25","female","200m",73,0,0.0432657553599101,137.683333333333,65.6833333333333,103.596834671215,670.584547073362,0.0851313228342127,24.564345467033,92.718
"41","af20_26","male","200m",100,0,-0.00211719836870095,136.65,64.65,201.435120597956,1298.42272023903,-0.00209530230263607,24.8965041208791,18.988
"42","af20_27","female","200m",98,0,0.338011926815739,136.4,64.4,120.773506721175,1056.88963450327,0.562634284138128,24.8965041208791,18.988
"43","af20_28","male","200m",33,1,0.944792989170355,47.8166666666667,23.8166666666667,204.837535913157,2119.87493579053,0.923013914818964,24.7745480769231,15.958
"44","af20_29","female","50m",52,0,0.141837742770294,88.5666666666667,40.5666666666667,18.8867691446451,196.310375015102,0.413456459309229,24.8895201923077,17.978
"45","af20_3","male","50m",33,1,0.796737187758539,23.5833333333333,11.5833333333333,55.7510976254216,616.907381198902,0.754058925232702,24.38221875,4.242
"46","af20_30","male","50m",21,1,0.932624718946083,23.65,11.65,57.2096978141841,611.390532717902,0.86771479884723,24.6523004807692,2.626
"47","af20_31","female","200m",73,0,-0.0584757355770502,135.566666666667,63.5666666666667,86.2422168848697,468.442982688422,-0.136243232599982,24.9336751373626,15.958
"48","af20_32","female","200m",76,0,-0.0150407467882232,136.116666666667,64.1166666666667,69.3870164016705,243.468730976136,-0.046025182681302,24.7793646978022,33.734
"49","af20_33","female","50m",50,0,-0.13203449265733,88.9166666666667,40.9166666666667,24.6286956215337,223.257279628713,-0.281428191397395,25.0804442307692,6.262
"50","af20_34","male","50m",26,1,0.810946648563473,25.5166666666667,13.5166666666667,70.3896550649623,699.77962643986,0.638380906338344,25.2836442307692,6.262
"51","af20_35","male","50m",50,0,0.119002719626859,87.8666666666667,39.8666666666667,41.1918613708078,291.764118027291,0.14928452741346,25.1483230769231,0.202
"52","af20_36","female","50m",47,0,0.0305662143380206,86.9666666666667,38.9666666666667,9.13252650342599,120.182111650051,0.170694222052468,25.1483230769231,0.202
"53","af20_37","female","200m",69,0,0.0185668515743126,135.216666666667,63.2166666666667,15.4128761708565,101.736634910521,0.254290404976956,24.7852115384615,20.806
"54","af20_38","male","200m",58,1,0.924445982576648,89.9333333333333,41.9333333333333,227.209378970215,2155.73653982638,0.824026789317189,24.8190240384615,33.532
"55","af20_39","male","200m",67,0,-0.0336517098304667,136.516666666667,64.5166666666667,29.182005431227,283.463842710269,-0.233305455055945,25.0323866758242,18.18
"56","af20_4","female","50m",73,0,0.29704398497726,89.0666666666667,41.0666666666667,40.8038577314633,295.335558241646,0.394782769017094,25.0296490384615,21.614
"57","af20_40","male","200m",72,0,0.0149946732763825,135.016666666667,63.0166666666667,25.6179874469368,162.345178944072,0.120341265371567,24.7852115384615,20.806
"58","af20_41","female","200m",68,0,0.0385804574323517,136.533333333333,64.5333333333333,24.8631406890089,230.078472931455,0.316982512332521,25.0323866758242,18.18
"59","af20_5","male","50m",68,1,0.897585388242974,74.15,38.15,60.9381041680272,623.825610516811,0.765950200593114,24.9737427884615,19.392
"60","af20_6","female","50m",67,0,0.0236436319708188,87.4333333333333,39.4333333333333,21.547458364905,183.508059651838,0.0558445933179651,25.0296490384615,21.614
"61","af20_7","male","50m",31,1,0.763645625565697,25.4166666666667,13.4166666666667,51.3754614451823,549.240841220115,0.810926068901592,24.4925408653846,12.524
"62","af20_8","female","200m",86,0,0.0199947127613749,143.083333333333,71.0833333333333,29.6903265155604,207.672285289394,0.137377266649677,25.2599375,18.786
"63","af20_9","male","50m",66,0,0.0263528749425129,89.4,41.4,16.5267049395515,151.028795766186,0.0869028978456701,25.2767576923077,26.866
"64","af20_18","male","200m",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
