id,tube,well_id,t_conc,cv,species,plate,sex,condition,t_corr_final,t_conc_corr
af20_3,14,SPL15,156.635,5.669,af,T_6,m,back_home,0.11875,18.60040625
af20_2,16,SPL16,159.912,5.889,af,T_6,f,back_home,0.125,19.989
af20_7,17,SPL17,97.431,2.155,af,T_6,m,back_home,0.115625,11.26545938
af20_5,21,SPL21,349.384,5.578,af,T_6,m,back_home,0.1234375,43.1270875
af20_4,25,SPL25,109.036,1.453,af,T_6,f,back_home,0.128125,13.9702375
af20_1,29,SPL28,73.645,8.802,af,T_6,f,back_home,0.1203125,8.860414063
af20_6,30,SPL29,62.301,10.981,af,T_6,f,back_home,0.115625,7.203553125
af20_14,38,SPL34,289.415,2.786,af,T_6,m,back_home,0.10625,30.75034375
af20_13,39,SPL35,141.143,1.394,af,T_6,f,back_home,0.1171875,16.54019531
af20_8,40,SPL1,105.017,11.79,af,T_7,f,back_home,0.115625,12.14259063
af20_10,41,SPL2,74.519,1.364,af,T_7,m,back_home,0.109375,8.150515625
af20_12,44,SPL5,62.439,10.918,af,T_7,m,back_home,0.1015625,6.341460938
af20_11,45,SPL6,65.111,10.159,af,T_7,f,back_home,0.121875,7.935403125
af20_18,53,SPL1,163.585,10.955,af,T_8,m,back_home,0.125,20.448125
af20_34,79,SPL7,168.404,4.214,af,T_8,m,back_home,0.125,21.0505
af20_27,82,SPL8,54.227,21.916,af,T_8,f,back_home,0.128125,6.947834375
af20_33,86,SPL12,69.655,11.112,af,T_8,f,back_home,0.1203125,8.380367188
af20_31,88,SPL14,208.334,8.028,af,T_8,f,back_home,0.11875,24.7396625
af20_35,89,SPL15,438.868,4.848,af,T_8,m,back_home,0.121875,53.4870375
af20_36,90,SPL16,347.344,8.528,af,T_8,f,back_home,0.11875,41.2471
af20_32,107,SPL27,96.395,1.915,af,T_8,f,back_home,0.1234375,11.89875781
af20_38,108,SPL28,140.533,2.606,af,T_8,m,back_home,0.11875,16.68829375
af20_37,109,SPL29,63.819,5.178,af,T_8,f,back_home,0.115625,7.379071875
af20_40,110,SPL30,108.061,8.14,af,T_8,m,back_home,0.1125,12.1568625
af20_39,113,SPL33,346.933,3.438,af,T_8,m,back_home,0.11875,41.19829375
af20_41,114,SPL34,35.037,0.163,af,T_8,f,back_home,0.128125,4.489115625
af20_17,52,SPL6,415.119,1.896,af,T_9,m,back_home,0.138257576,57.39334669
af20_19,57,SPL10,98.699,3.042,af,T_9,m,back_home,0.130067568,12.83753889
af20_20,63,SPL13,53.294,13.901,af,T_9,f,back_home,0.131944444,7.031847199
af20_24,69,SPL19,94.427,1.341,af,T_9,f,back_home,0.133928571,12.64647317
af20_25,70,SPL20,65.725,2.752,af,T_9,f,back_home,0.128289474,8.431825679
af20_28,72,SPL22,425.625,7.133,af,T_9,m,back_home,0.133928571,57.00334803
af20_29,78,SPL26,83.438,15.25,af,T_9,f,back_home,0.136029412,11.35002208
af20_1,0,SPL1,117.118,4.751,af,T_6,f,base_01,0.1234375,14.45675313
af20_3,2,SPL2,127.016,3.659,af,T_6,m,base_01,0.125,15.877
af20_2,1,SPL3,89.288,0.746,af,T_6,f,base_01,0.1125,10.0449
af20_4,3,SPL4,26.249,21.05,af,T_6,f,base_01,0.13125,3.44518125
af20_5,7,SPL8,132.877,3.144,af,T_6,m,base_01,0.1203125,15.98676406
af20_6,8,SPL9,103.326,3.913,af,T_6,f,base_01,0.125,12.91575
af20_7,10,SPL11,88.914,5.921,af,T_6,m,base_01,0.115625,10.28068125
af20_8,11,SPL12,48.905,9.266,af,T_6,f,base_01,0.115625,5.654640625
af20_9,12,SPL13,46.693,4.702,af,T_6,m,base_01,0.125,5.836625
af20_10,13,SPL14,61.126,1.065,af,T_6,m,base_01,0.1140625,6.972184375
af20_11,18,SPL18,70.456,9.479,af,T_6,f,base_01,0.121875,8.586825
af20_12,19,SPL19,108.752,0.467,af,T_6,m,base_01,0.1109375,12.064675
af20_13,23,SPL23,137.518,3.456,af,T_6,f,base_01,0.1203125,16.54513438
af20_14,24,SPL24,244.203,6.613,af,T_6,m,base_01,0.125,30.525375
af20_31,60,SPL2,94.959,2.964,af,T_8,f,base_01,0.125,11.869875
af20_32,62,SPL4,241.794,0.919,af,T_8,f,base_01,0.125,30.22425
af20_35,74,SPL6,121.347,2.11,af,T_8,m,base_01,0.125,15.168375
af20_39,91,SPL17,344.461,4.849,af,T_8,m,base_01,0.115625,39.82830313
af20_40,94,SPL20,122.309,2.688,af,T_8,m,base_01,0.125,15.288625
af20_41,96,SPL22,386.08,7.436,af,T_8,f,base_01,0.115625,44.6405
af20_25,47,SPL1,141.915,4.187,af,T_9,f,base_01,0.133928571,19.00647315
af20_17,48,SPL2,95.039,10.57,af,T_9,m,base_01,0.128125,12.17687188
af20_18,49,SPL3,154.232,0.988,af,T_9,m,base_01,0.138257576,21.32374246
af20_19,50,SPL4,238.317,8.287,af,T_9,m,base_01,0.126602564,30.17154324
af20_20,51,SPL5,189.291,7.543,af,T_9,f,base_01,0.130067568,24.62062001
af20_27,54,SPL7,107.176,0.367,af,T_9,f,base_01,0.128289474,13.74955267
af20_26,55,SPL8,180.052,13.33,af,T_9,m,base_01,0.133928571,24.11410707
af20_28,56,SPL9,54.279,15.058,af,T_9,m,base_01,0.133928571,7.269508905
af20_29,58,SPL11,69.331,1.407,af,T_9,f,base_01,0.125,8.666375
af20_30,59,SPL12,208.545,5.734,af,T_9,m,base_01,0.126602564,26.40233171
af20_33,67,SPL17,119.331,9.273,af,T_9,f,base_01,0.128289474,15.30891122
af20_34,68,SPL18,193.84,5.177,af,T_9,m,base_01,0.130067568,25.21229738
af20_36,71,SPL21,219.532,5.875,af,T_9,f,base_01,0.133928571,29.40160705
af20_38,75,SPL23,111.507,0.275,af,T_9,m,base_01,0.133928571,14.93397317
af20_37,80,SPL27,303.27,3.526,af,T_9,f,base_01,0.136029412,41.25363978
af20_3,4,SPL5,62.677,5.569,af,T_6,m,base_02,0.121875,7.638759375
af20_1,5,SPL6,263.936,2.986,af,T_6,f,base_02,0.1234375,32.5796
af20_2,6,SPL7,71.859,3.311,af,T_6,f,base_02,0.125,8.982375
af20_4,9,SPL10,45.27,1.076,af,T_6,f,base_02,0.1234375,5.588015625
af20_28,61,SPL3,50.371,14.183,af,T_8,m,base_02,0.125,6.296375
af20_32,93,SPL19,64.883,0.306,af,T_8,f,base_02,0.121875,7.907615625
af20_37,95,SPL21,84.18,7.116,af,T_8,f,base_02,0.1203125,10.12790625
af20_24,46,SPL7,28.129,11.698,af,T_7,f,base_03,0.1140625,3.208464063