"","id","sex","trans_group","homing_bin","latency1","orient_dist1","orient_angle1","latency_daytime1","latency2","orient_dist2","orient_angle2","latency_daytime2"
"1","af17_1","female","50m",0,51.1833333333333,10.2999999999884,-129.422823947728,27.1833333333333,NA,NA,NA,NA
"2","af17_10","female","200m",0,94.7166666666667,9.51892851112834,-95.4691043895693,58.7166666666667,NA,NA,NA,NA
"3","af17_11","male","200m",1,17.2666666666667,12.7098387086656,-3.33162414301336,17.2666666666667,21.0833333333333,41.2157736795143,7.99675555075389,21.0833333333333
"4","af17_14","female","200m",0,116.666666666667,9.89797959177818,13.5791143393349,68.6666666666667,95.25,30.5797318496744,116.255342543941,29.25
"5","af17_15","male","200m",1,20.3666666666667,8.22800097230879,98.3506465950134,20.3666666666667,39.3333333333333,38.4219989068763,42.7821623090918,17.3333333333333
"6","af17_18","female","200m",0,68.3666666666667,10,-33.9229093046128,44.3666666666667,NA,NA,NA,NA
"7","af17_19","male","200m",1,42.05,6.2968245965928,-12.1180352727152,30.05,43.65,40.1523349258696,4.06829265621964,21.65
"8","af17_20","female","200m",0,73.2833333333333,13.4033577882681,164.257650730284,37.2833333333333,97.15,20.1955440629764,176.199398658278,9.15000000000001
"9","af17_21","male","200m",1,25.45,12.061509026653,-23.5201152097723,13.45,49.95,49.6695077486954,8.08726172713456,5.95
"10","af17_22","female","50m",0,64.3666666666667,8.67294644278854,-155.933582567711,40.3666666666667,NA,NA,NA,NA
"11","af17_26","male","50m",1,1.43333333333333,11.9201510057268,-3.26659799017738,1.43333333333333,2.13333333333333,39.723670525228,-4.33389478685848,2.13333333333333
"12","af17_27","female","50m",1,63.7166666666667,7.62167960488778,7.23943584176511,39.7166666666667,72.1,41.3832091554041,-1.35231939585701,6.09999999999999
"13","af17_29","female","50m",1,24.9166666666667,8.9274856482467,-29.9979059503357,12.9166666666667,48.4166666666667,40.7638320082778,-6.48797783092288,4.41666666666666
"14","af17_3","female","50m",1,1.86666666666667,6.08111831818784,-16.4013352859275,1.86666666666667,20.8666666666667,43.1529836743607,-1.59087165309408,20.8666666666667
"15","af17_31","female","200m",0,21.8666666666667,9.8081598681807,-65.2992444621358,21.8666666666667,143.816666666667,31.4148054267571,42.4712136694049,33.8166666666667
"16","af17_32","male","200m",1,18.15,9.0199778270222,106.451737374453,18.15,120.5,41.3943232822942,-51.4305506855096,10.5
"17","af17_33","female","200m",0,17.2333333333333,7.96115569503301,-12.7792346252557,17.2333333333333,NA,NA,NA,NA
"18","af17_34","male","200m",0,66.8,9.30053761886914,-29.1011287926542,42.8,90.1,28.8086792477661,-70.3333218694058,24.1
"19","af17_5","male","50m",1,24.5,9.7514101544367,-26.7706078233367,12.5,26.1666666666667,41.3569824817769,2.05437722522786,4.16666666666667
"20","af17_6","female","50m",1,40.2,7.74919350644253,86.7953384179348,28.2,94.9,41.1885906532608,-0.451710683122413,28.9
"21","af17_7","male","50m",1,25,9.75756117067059,9.40894826529758,13,26.3333333333333,34.319819346843,2.32297980311668,4.33333333333333
"22","af17_8","female","200m",0,45.15,10.1965680501141,-21.9822244089748,33.15,NA,NA,NA,NA
"23","af17_9","male","200m",1,41.1833333333333,9.46414285609186,-110.505944919369,29.1833333333333,45.9833333333333,36.7522788409033,7.21722792126858,23.9833333333333
"24","af20_1","female","50m",0,75.3833333333333,8.00000000001164,-10.2655914514031,39.3833333333333,NA,NA,NA,NA
"25","af20_12","male","200m",1,15.4833333333333,11.0113577727726,74.1550873440787,15.4833333333333,16.7,42.1612381222198,-0.359778598576623,16.7
"26","af20_14","male","50m",0,43.1,10.553672346615,1.62919766272628,31.1,NA,NA,NA,NA
"27","af20_17","male","200m",1,0.866666666666667,5.49181208707889,-132.137650813269,0.866666666666667,17.9666666666667,43.4691844874356,17.4797960699053,17.9666666666667
"28","af20_19","male","50m",1,1.21666666666667,7.37631344239763,-53.0025264241729,1.21666666666667,14.5166666666667,45.6829289779046,-2.88472899486768,14.5166666666667
"29","af20_2","female","50m",1,15.1666666666667,6.76017751247687,123.938308426683,15.1666666666667,26.9833333333333,39.6214588322764,9.53577969733666,4.98333333333333
"30","af20_24","female","200m",0,89.15,5.74891294070269,-138.446969888241,53.15,NA,NA,NA,NA
"31","af20_25","female","200m",0,19.8333333333333,10.0079968025584,170.066980592947,19.8333333333333,NA,NA,NA,NA
"32","af20_26","male","200m",0,46.65,6.76239602504064,-106.654223472026,34.65,63.9666666666667,46.8697130352254,160.805105724502,19.9666666666667
"33","af20_27","female","200m",0,17.3666666666667,7.87718223728698,-53.5582456217144,17.3666666666667,114.783333333333,41.4077287471444,8.70612128849081,26.7833333333333
"34","af20_29","female","50m",0,66.2166666666667,8.82043082849318,17.4411943805934,42.2166666666667,NA,NA,NA,NA
"35","af20_3","male","50m",1,1.71666666666667,8.58661749467495,-58.4572781073333,1.71666666666667,23.55,45.9053373803351,-13.9753127310078,23.55
"36","af20_30","male","50m",1,20.7166666666667,10.3392456204407,5.25340601987515,20.7166666666667,23.0666666666667,39.5455433645726,3.85895845583065,23.0666666666667
"37","af20_31","female","200m",0,90.7,9.98098191562753,-152.483194120915,54.7,NA,NA,NA,NA
"38","af20_32","female","200m",0,24.3666666666667,8.63133825082345,155.045798388793,12.3666666666667,NA,NA,NA,NA
"39","af20_33","female","50m",0,39.45,11.5918074518462,-124.946084698159,27.45,NA,NA,NA,NA
"40","af20_35","male","50m",0,42.7,9.02551937560262,-18.2985593550779,30.7,NA,NA,NA,NA
"41","af20_38","male","200m",1,14.8833333333333,7.21734023031807,-70.359229168567,14.8833333333333,41.0333333333333,35.9923603005026,-21.7244254640836,19.0333333333333
"42","af20_39","male","200m",0,67.8333333333333,9.99849988748091,-166.310302449009,43.8333333333333,NA,NA,NA,NA
"43","af20_4","female","50m",0,1.01666666666667,8.89550448259576,2.5910908793574,1.01666666666667,NA,NA,NA,NA
"44","af20_41","female","200m",0,110.616666666667,9.33005894945735,20.2128797230856,62.6166666666667,NA,NA,NA,NA
"45","af20_5","male","50m",1,49.1,10.06031808642,22.8646292563194,25.1,73.75,38.007630812827,5.51391203508662,7.75
"46","af20_6","female","50m",0,22.3333333333333,6.08276253034032,-128.895133938528,22.3333333333333,NA,NA,NA,NA
"47","af20_7","male","50m",1,15.05,8.56154191724103,5.46702953865307,15.05,17.8666666666667,38.6291340830039,-6.506124302927,17.8666666666667
"48","af20_8","female","200m",0,23.65,6.97710541702065,54.7562397414728,23.65,NA,NA,NA,NA
"49","af20_9","male","50m",0,69.65,5.83095189483132,-60.8846848978637,45.65,NA,NA,NA,NA
"50","af17_23","male","50m",1,NA,NA,NA,NA,1.8,45.5798200962055,3.29769002842896,1.8
"51","af17_24","female","50m",1,NA,NA,NA,NA,47.9666666666667,36.3649556578734,3.49099014382642,25.9666666666667
"52","af17_28","male","50m",1,NA,NA,NA,NA,1.4,46.0212994166707,4.75884350058513,1.4
"53","af17_30","male","50m",1,NA,NA,NA,NA,15.4666666666667,45.1359058843163,-1.8589910784252,15.4666666666667
"54","af17_4","male","50m",1,NA,NA,NA,NA,2.6,36.9529430492316,3.45616779975875,2.6
"55","af20_10","male","200m",1,NA,NA,NA,NA,66.55,39.8810732052333,-33.632865774476,22.55
"56","af20_20","female","50m",1,NA,NA,NA,NA,25.2666666666667,40.5659956121203,-15.9629582409576,3.26666666666667
"57","af20_28","male","200m",1,NA,NA,NA,NA,17.3,36.5034244968626,14.220117937961,17.3
"58","af20_34","male","50m",1,NA,NA,NA,NA,24.9333333333333,39.0366494463571,-16.9374455678382,2.93333333333333
