,id,date,sex,x,y,year
1,11-f-040,22/2/14,female,313991.5748,446696.2994,2014
2,12-f-011,13/2/14,female,313955.2483,446685.0328,2014
3,12-f-011,3/3/14,female,313956.1099,446684.8055,2014
4,12-f-011,21/4/14,female,313952.3724,446687.2324,2014
5,12-f-011,22/4/14,female,313981.244,446690.886,2014
6,12-f-069,6/2/14,female,313962.089,446767.1336,2014
7,12-m-015,3/2/14,male,313950.1581,446708.0946,2014
8,12-m-027,9/2/14,male,314103.1738,446735.522,2014
9,12-m-027,22/2/14,male,314105.7079,446733.4192,2014
10,12-m-036,7/2/14,male,313959.8405,446814.9994,2014
11,12-m-036,9/2/14,male,313961.4325,446818.9083,2014
12,12-m-087,5/2/14,male,314071.2654,446799.5134,2014
13,12-m-087,11/2/14,male,314071.283,446799.5152,2014
14,12-m-123,31/1/14,male,313935.5698,446699.4548,2014
15,12-m-123,15/4/14,male,313936.8928,446695.9082,2014
16,12-m-123,4/2/15,male,313949.1335,446671.5285,2015
17,12-m-123,5/2/15,male,313949.1254,446683.8857,2015
18,12-m-123,8/2/15,male,313950.1776,446683.5523,2015
19,12-m-136,5/2/14,male,314073.9531,446788.1981,2014
20,12-m-136,28/2/14,male,314072.9618,446797.0717,2014
21,13-f-040,6/2/14,male,313967.2613,446769.462,2014
22,13-f-049,21/4/14,female,313978.0596,446687.1755,2014
23,13-f-056,22/2/14,female,313971.8098,446722.8912,2014
24,13-m-005,3/2/14,male,313970.615,446684.9416,2014
25,13-m-005,4/2/14,male,313963.8606,446689.3662,2014
26,13-m-005,13/2/14,male,313969.037,446688.2911,2014
27,13-m-005,14/2/14,male,313968.44,446688.1963,2014
28,13-m-006,22/2/14,male,313961.5137,446712.2231,2014
29,13-m-006,29/1/15,male,313963.2234,446716.1984,2015
30,13-m-006,2/2/15,male,313975.1337,446701.7146,2015
31,13-m-011,26/1/14,male,314027.2921,446690.4923,2014
32,13-m-011,4/2/14,male,314028.2755,446689.5794,2014
33,13-m-011,5/2/14,male,314037.6783,446691.9089,2014
34,13-m-011,16/3/14,male,314015.5069,446686.5063,2014
35,13-m-025,25/1/14,male,314197.9053,446678.6826,2014
36,13-m-025,30/1/14,male,314216.5286,446678.3413,2014
37,13-m-026,26/1/14,male,313945.7767,446658.5772,2014
38,13-m-026,4/2/14,male,313946.3715,446660.4394,2014
39,13-m-026,10/2/14,male,313947.4047,446660.0121,2014
40,13-m-026,14/3/14,male,313947.971,446660.4958,2014
41,13-m-026,31/1/15,male,313952.7122,446664.5219,2015
42,13-m-026,1/2/15,male,313952.6951,446664.4551,2015
43,13-m-026,5/2/15,male,313944.1155,446660.1825,2015
44,13-m-026,8/2/15,male,313953.1718,446664.6069,2015
45,13-m-026,9/2/15,male,313951.699,446663.8223,2015
46,13-m-026,9/4/16,male,313951.4468,446674.6001,2016
47,13-m-027,26/1/14,male,314014.3474,446713.0159,2014
48,13-m-031,24/1/14,male,314082.2471,446726.9508,2014
49,13-m-031,30/1/14,male,314080.8687,446725.4121,2014
50,13-m-032,13/4/14,male,313934.4287,446840.1076,2014
51,13-m-032,20/4/14,male,313934.3791,446842.2254,2014
52,13-m-032,2/2/15,male,313916.9504,446866.3927,2015
53,13-m-033,10/2/14,male,313934.2791,446863.3437,2014
54,13-m-033,11/2/14,male,313934.7645,446863.5842,2014
55,13-m-033,25/3/14,male,313929.3003,446866.2635,2014
56,13-m-033,2/2/15,male,313922.8669,446855.4762,2015
57,13-m-033,4/2/15,male,313925.7383,446854.331,2015
58,13-m-036,23/2/14,male,313977.1257,446687.6446,2014
59,13-m-036,15/4/14,male,313935.4936,446709.3153,2014
60,13-m-036,19/4/14,male,313929.34,446671.1462,2014
61,13-m-037,4/2/14,male,313978.4978,446727.5067,2014
62,13-m-040,4/2/14,male,314011.44,446747.4096,2014
63,13-m-040,6/2/14,female,314016.1264,446748.8115,2014
64,13-m-053,26/1/14,male,314022.5373,446740.1389,2014
65,13-m-060,8/2/14,male,314074.5249,446755.5628,2014
66,13-m-060,11/2/14,male,314074.5804,446755.5728,2014
67,13-m-060,8/2/15,male,314079.9806,446773.7161,2015
68,13-m-082,17/4/14,male,313968.8308,446773.9122,2014
69,13-m-082,1/2/15,male,313972.6166,446774.1214,2015
70,13-m-082,2/2/15,male,313970.4564,446779.5529,2015
71,13-m-082,3/2/15,male,313974.719,446768.7937,2015
72,13-m-082,10/2/15,male,313969.6077,446774.5432,2015
73,13-m-082,11/2/16,male,313970.3234,446778.8336,2016
74,13-m-088,14/4/14,male,313984.49,446820.7921,2014
75,13-m-096,2/3/14,male,313991.2055,446823.3232,2014
76,13-m-101,25/1/14,male,314180.7565,446665.659,2014
77,13-m-101,30/1/14,male,314201.328,446676.5485,2014
78,13-m-101,3/2/14,male,314202.3412,446675.2924,2014
79,13-m-105,9/2/14,male,313981.0983,446842.3232,2014
80,13-m-105,2/3/14,male,313989.9944,446838.7499,2014
81,13-m-105,25/3/14,male,313990.8381,446837.9094,2014
82,13-m-105,14/4/14,male,313987.7,446838.3749,2014
83,13-m-105,20/4/14,male,313990.9833,446838.2879,2014
84,13-m-112,11/2/14,male,314092.2861,446781.4678,2014
85,13-m-114,14/2/14,male,314079.7627,446782.1202,2014
86,13-m-114,22/2/14,male,314078.9082,446783.6007,2014
87,13-m-114,28/2/14,male,314079.9999,446780.6334,2014
88,13-m-120,3/2/14,male,313983.6095,446687.7413,2014
89,13-m-120,4/2/14,male,313981.5764,446688.8172,2014
90,13-m-120,13/2/14,male,313984.6024,446687.4564,2014
91,13-m-120,15/4/14,male,313981.7767,446688.8811,2014
92,13-m-120,16/4/14,male,313977.0898,446685.4529,2014
93,13-m-120,19/4/14,male,313977.0131,446688.3242,2014
94,13-m-120,20/4/14,male,313978.3889,446687.7426,2014
95,13-m-127,26/1/14,male,313991.3258,446741.1026,2014
96,13-m-127,4/2/14,male,313994.6987,446747.4869,2014
97,13-m-127,6/2/14,male,313993.3026,446743.9456,2014
98,13-m-129,10/2/14,male,313917.2761,446854.1655,2014
99,13-m-137,2/3/14,male,314003.7148,446879.9306,2014
100,13-m-137,21/3/14,male,314008.7403,446876.3253,2014
101,13-m-143,26/1/14,male,314007.6825,446748.7821,2014
102,13-m-143,21/3/14,male,314010.3141,446754.635,2014
103,13-m-143,18/4/14,male,314011.5822,446752.9167,2014
104,13-m-149,26/1/14,male,313895.6513,446650.7983,2014
105,13-m-149,3/3/14,male,313892.1271,446654.2547,2014
106,13-m-149,15/3/14,male,313892.0171,446654.4233,2014
107,13-m-149,27/3/14,male,313891.1416,446657.4243,2014
108,13-m-152,4/2/14,male,313962.7511,446696.3705,2014
109,13-m-152,16/3/14,male,313977.1184,446687.5554,2014
110,13-m-157,26/1/14,male,313951.1204,446687.4093,2014
111,13-m-157,3/2/14,male,313950.745,446688.9589,2014
112,13-m-157,12/2/14,male,313953.685,446689.9462,2014
113,13-m-157,13/2/14,male,313953.1242,446690.5995,2014
114,13-m-157,15/2/14,male,313953.9714,446689.7757,2014
115,13-m-157,15/4/14,male,313953.643,446689.6119,2014
116,13-m-157,21/4/14,male,313952.3685,446689.3411,2014
117,14-f-001,26/1/14,female,313994.876,446656.0141,2014
118,14-f-001,10/2/14,female,313995.0661,446657.6802,2014
119,14-f-001,28/2/14,female,313994.9053,446655.8698,2014
120,14-f-001,16/4/14,female,313986.9344,446654.9265,2014
121,14-f-002,26/1/14,female,313952.6154,446682.5967,2014
122,14-f-002,15/4/14,female,313948.823,446685.5499,2014
123,14-f-003,26/1/14,female,313990.8065,446690.9581,2014
124,14-f-004,26/1/14,female,314022.6276,446705.5054,2014
125,14-f-004,16/4/14,female,314035.846,446714.0644,2014
126,14-f-005,31/1/14,female,313970.9731,446656.7063,2014
127,14-f-005,31/1/15,female,313966.9927,446670.8051,2015
128,14-f-006,5/2/14,female,314164.0393,446662.5338,2014
129,14-f-007,5/2/14,female,314134.1954,446667.5922,2014
130,14-f-008,4/2/14,female,313977.3135,446714.1807,2014
131,14-f-009,4/2/14,female,314011.0594,446747.0403,2014
132,14-f-009,6/2/14,female,314013.2194,446747.8366,2014
133,14-f-010,4/2/14,female,314011.2542,446747.1085,2014
134,14-f-011,4/2/14,female,313961.0265,446691.877,2014
135,14-f-012,6/2/14,female,314029.0879,446737.6577,2014
136,14-f-013,10/2/14,female,314000.1338,446718.5919,2014
137,14-f-013,15/4/14,female,313999.3888,446719.7311,2014
138,14-f-014,11/2/14,female,314095.2314,446781.1529,2014
139,14-f-015,11/2/14,female,313948.7851,446673.9506,2014
140,14-f-015,13/2/14,female,313950.8267,446674.0061,2014
141,14-f-015,3/2/15,female,313957.7147,446684.9206,2015
142,14-f-016,22/2/14,female,313961.5466,446711.9224,2014
143,14-f-016,16/4/14,female,313971.0736,446684.2524,2014
144,14-f-016,21/4/14,female,313954.7446,446688.6793,2014
145,14-f-017,22/2/14,female,314017.1056,446759.9284,2014
146,14-f-018,23/2/14,female,313977.3365,446687.6388,2014
147,14-f-019,3/3/14,female,313891.5379,446654.4237,2014
148,14-f-020,14/2/14,female,313988.3131,446701.1579,2014
149,14-f-021,9/3/14,female,313832.743,446618.3218,2014
150,14-f-022,10/3/14,female,313950.611,446674.9956,2014
151,14-f-023,11/3/14,female,313886.1797,446643.3993,2014
152,14-f-023,9/2/15,female,313895.3226,446646.8991,2015
153,14-f-024,14/3/14,female,313928.5143,446654.3328,2014
154,14-f-024,16/3/14,female,313928.3108,446654.4803,2014
155,14-f-024,16/4/14,female,313972.4414,446683.1125,2014
156,14-f-024,17/4/14,female,313971.2186,446684.3797,2014
157,14-f-025,15/3/14,female,313978.3913,446657.9466,2014
158,14-f-025,17/4/14,female,313985.676,446654.7932,2014
159,14-f-026,15/3/14,female,313893.6079,446655.7349,2014
160,14-f-027,25/3/14,female,313990.8381,446837.924,2014
161,14-f-027,1/2/15,female,313988.5247,446847.204,2015
162,14-f-028,14/4/14,female,313918.9715,446853.3131,2014
163,14-f-029,15/3/14,female,313967.551,446658.0406,2014
164,14-f-029,15/4/14,female,313956.3122,446664.8094,2014
165,14-f-029,8/2/15,female,313953.2367,446664.4118,2015
166,14-f-030,20/4/14,female,313901.4776,446661.134,2014
167,14-f-031,20/4/14,female,313977.7163,446688.3608,2014
168,14-f-032,22/4/14,female,313881.9995,446655.0129,2014
169,14-f-033,16/4/14,female,313963.0131,446657.8281,2014
170,14-f-034,16/4/14,female,313978.4925,446689.2471,2014
171,14-f-035,17/4/14,female,313968.8321,446774.5732,2014
172,14-f-036,18/4/14,female,313984.7203,446734.2136,2014
173,14-f-037,18/4/14,female,313948.3982,446798.9589,2014
174,14-f-038,21/4/14,female,313952.4993,446689.2974,2014
175,14-m-001,24/1/14,male,314172.2649,446646.8262,2014
176,14-m-001,30/1/14,male,314171.8394,446647.1164,2014
177,14-m-002,24/1/14,male,314163.2677,446662.0619,2014
178,14-m-002,5/2/14,male,314163.8263,446662.5342,2014
179,14-m-003,24/1/14,male,314132.8174,446710.2764,2014
180,14-m-003,30/1/14,male,314132.4008,446715.2179,2014
181,14-m-004,24/1/14,male,314089.0137,446700.854,2014
182,14-m-004,30/1/14,male,314086.59,446700.6407,2014
183,14-m-005,24/1/14,male,314074.38,446708.6783,2014
184,14-m-005,30/1/14,male,314072.7516,446707.5964,2014
185,14-m-006,26/1/14,male,314047.1906,446735.738,2014
186,14-m-006,5/2/14,male,314041.6388,446742.1121,2014
187,14-m-006,18/4/14,male,314044.2988,446741.5245,2014
188,14-m-006,31/1/15,male,314038.4199,446738.5042,2015
189,14-m-006,3/2/15,male,314038.4108,446738.7179,2015
190,14-m-006,4/2/15,male,314038.2371,446738.5456,2015
191,14-m-006,5/2/15,male,314037.9324,446737.275,2015
192,14-m-007,26/1/14,male,313994.9065,446657.8094,2014
193,14-m-007,31/1/14,male,313994.6648,446657.6426,2014
194,14-m-007,4/2/14,male,313994.3526,446667.5552,2014
195,14-m-007,10/2/14,male,313994.9656,446657.6304,2014
196,14-m-007,28/2/14,male,313994.9056,446656.0162,2014
197,14-m-007,16/4/14,male,313994.5687,446657.0965,2014
198,14-m-007,29/1/15,male,313975.7361,446690.054,2015
199,14-m-007,31/1/15,male,313973.5457,446689.3566,2015
200,14-m-007,4/2/15,male,313970.8412,446686.7069,2015
201,14-m-007,8/2/15,male,313973.317,446690.6866,2015
202,14-m-008,26/1/14,male,313951.644,446682.4299,2014
203,14-m-008,28/2/14,male,313962.259,446736.0546,2014
204,14-m-008,22/4/14,male,313954.8207,446720.5527,2014
205,14-m-009,26/1/14,male,313997.5058,446692.1201,2014
206,14-m-009,3/2/14,male,313993.7666,446687.4203,2014
207,14-m-009,12/2/14,male,313996.2082,446692.1139,2014
208,14-m-009,14/3/14,male,313995.5413,446688.4367,2014
209,14-m-009,16/4/14,male,314020.7377,446693.4549,2014
210,14-m-010,26/1/14,male,313993.9741,446717.8059,2014
211,14-m-010,4/2/14,male,313986.2631,446713.7552,2014
212,14-m-010,15/2/14,male,313990.0157,446709.3446,2014
213,14-m-010,25/3/14,male,313962.6145,446860.0321,2014
214,14-m-011,26/1/14,male,314022.8997,446693.9598,2014
215,14-m-011,5/2/14,male,314018.8924,446699.3988,2014
216,14-m-012,26/1/14,male,313994.0673,446720.4135,2014
217,14-m-012,3/2/14,male,313985.8827,446719.2084,2014
218,14-m-012,14/2/14,male,314000.8218,446719.7451,2014
219,14-m-012,23/2/14,male,314006.0453,446715.5628,2014
220,14-m-012,19/4/14,male,313977.1615,446688.3531,2014
221,14-m-013,26/1/14,male,314003.5141,446748.7077,2014
222,14-m-014,26/1/14,male,314010.8701,446762.19,2014
223,14-m-015,26/1/14,male,314090.6777,446715.644,2014
224,14-m-015,30/1/14,male,314091.6162,446710.3906,2014
225,14-m-015,10/2/14,male,314092.5884,446714.4733,2014
226,14-m-016,24/1/14,male,314100.6408,446676.2828,2014
227,14-m-016,26/1/14,male,314099.4963,446676.444,2014
228,14-m-016,3/2/14,male,314098.8204,446676.2425,2014
229,14-m-017,24/1/14,male,314131.3337,446667.5332,2014
230,14-m-017,30/1/14,male,314150.2218,446659.5301,2014
231,14-m-018,25/1/14,male,314197.9051,446678.6827,2014
232,14-m-019,26/1/14,male,313864.9906,446651.8006,2014
233,14-m-019,14/3/14,male,313859.5942,446648.1769,2014
234,14-m-019,28/3/14,male,313859.4632,446646.1118,2014
235,14-m-019,22/4/14,male,313882.1983,446655.1053,2014
236,14-m-020,26/1/14,male,313988.6074,446705.5455,2014
237,14-m-020,4/2/14,male,313981.0647,446697.5325,2014
238,14-m-020,13/2/14,male,313989.4356,446707.9875,2014
239,14-m-021,26/1/14,male,313961.9102,446658.2173,2014
240,14-m-021,10/2/14,male,313953.6549,446657.6897,2014
241,14-m-021,14/3/14,male,313959.8366,446655.5237,2014
242,14-m-022,26/1/14,male,313925.0056,446657.0927,2014
243,14-m-022,13/2/14,male,313924.3781,446652.8104,2014
244,14-m-022,14/3/14,male,313928.2443,446654.6105,2014
245,14-m-022,2/2/15,male,313897.3786,446647.3993,2015
246,14-m-022,5/2/15,male,313895.087,446636.8326,2015
247,14-m-022,10/2/15,male,313893.4295,446636.9861,2015
248,14-m-023,26/1/14,male,313915.1893,446645.9021,2014
249,14-m-024,26/1/14,male,313927.8755,446643.9765,2014
250,14-m-025,26/1/14,male,313928.0306,446643.7049,2014
251,14-m-025,13/2/14,male,313950.2996,446674.2699,2014
252,14-m-025,15/4/14,male,313963.3049,446693.6253,2014
253,14-m-025,19/4/14,male,313976.0761,446687.9067,2014
254,14-m-025,29/1/15,male,313959.5269,446696.7317,2015
255,14-m-025,30/1/15,male,313960.8871,446696.1234,2015
256,14-m-025,31/1/15,male,313959.7052,446695.6972,2015
257,14-m-025,1/2/15,male,313959.5398,446697.7082,2015
258,14-m-025,4/2/15,male,313960.0542,446697.3606,2015
259,14-m-026,26/1/14,male,313922.9859,446663.3507,2014
260,14-m-028,24/1/14,male,314171.9017,446673.7279,2014
261,14-m-028,3/2/14,male,314177.5886,446667.862,2014
262,14-m-028,10/2/14,male,314179.1093,446667.9242,2014
263,14-m-028,22/2/14,male,314178.2123,446670.1107,2014
264,14-m-029,14/4/14,male,313988.4967,446820.3512,2014
265,14-m-030,10/2/14,male,313915.8696,446862.2995,2014
266,14-m-030,11/2/14,male,313915.9703,446861.9328,2014
267,14-m-030,2/3/14,male,313923.7236,446853.9933,2014
268,14-m-030,25/3/14,male,313916.5102,446861.0952,2014
269,14-m-032,31/1/14,male,313971.4822,446656.947,2014
270,14-m-032,16/3/14,male,313928.3108,446654.4972,2014
271,14-m-032,15/4/14,male,313923.9099,446639.5527,2014
272,14-m-033,31/1/14,male,314204.6936,446583.9837,2014
273,14-m-033,10/2/14,male,314204.6882,446589.0986,2014
274,14-m-034,30/1/14,male,314220.9801,446592.956,2014
275,14-m-034,2/2/14,male,314217.5588,446591.8685,2014
276,14-m-034,24/3/14,male,314221.1063,446602.8118,2014
277,14-m-035,3/2/14,male,313952.1732,446707.9277,2014
278,14-m-035,10/2/14,male,313969.8496,446669.8326,2014
279,14-m-035,16/3/14,male,313969.7545,446667.977,2014
280,14-m-035,28/3/14,male,313973.6435,446668.7633,2014
281,14-m-035,16/4/14,male,313972.9411,446667.4616,2014
282,14-m-036,6/2/14,male,314101.7216,446768.5593,2014
283,14-m-037,6/2/14,male,314093.9833,446780.3725,2014
284,14-m-037,10/2/14,male,314101.7158,446768.4891,2014
285,14-m-038,3/2/14,male,313960.9939,446692.4211,2014
286,14-m-039,4/2/14,male,313963.2245,446692.0776,2014
287,14-m-039,12/2/14,male,313964.2529,446691.3876,2014
288,14-m-039,15/4/14,male,313965.3538,446690.9615,2014
289,14-m-039,16/4/14,male,313970.9218,446684.4801,2014
290,14-m-040,4/2/14,male,313938.6222,446686.0971,2014
291,14-m-040,9/3/14,male,313938.9828,446686.376,2014
292,14-m-040,15/4/14,male,313938.2782,446687.8961,2014
293,14-m-040,2/2/15,male,313944.0294,446689.5668,2015
294,14-m-040,8/2/15,male,313944.5196,446689.879,2015
295,14-m-041,4/2/14,male,313965.7742,446721.7165,2014
296,14-m-041,30/1/15,male,313969.0295,446722.7207,2015
297,14-m-041,1/2/15,male,313966.892,446722.0106,2015
298,14-m-041,7/2/16,male,313969.0294,446723.9201,2016
299,14-m-041,18/3/16,male,313970.6224,446720.1143,2016
300,14-m-041,9/4/16,male,313970.5856,446721.626,2016
301,14-m-042,4/2/14,male,313971.4754,446669.636,2014
302,14-m-042,10/2/14,male,313971.6018,446670.7916,2014
303,14-m-043,5/2/14,male,314069.9023,446781.0981,2014
304,14-m-043,11/2/14,male,314066.3162,446781.2782,2014
305,14-m-043,14/2/14,male,314069.8713,446785.8304,2014
306,14-m-044,5/2/14,male,314079.7991,446781.8797,2014
307,14-m-045,5/2/14,male,314085.7857,446785.7902,2014
308,14-m-045,6/2/14,male,314082.1774,446779.5252,2014
309,14-m-046,5/2/14,male,314086.7568,446817.886,2014
310,14-m-046,9/2/14,male,314092.4555,446819.6507,2014
311,14-m-047,6/2/14,male,313962.1518,446767.1959,2014
312,14-m-047,17/4/14,male,313969.2711,446748.5496,2014
313,14-m-048,6/2/14,male,313946.886,446783.5463,2014
314,14-m-049,6/2/14,male,314097.8942,446760.4145,2014
315,14-m-049,10/2/14,male,314097.9733,446760.3069,2014
316,14-m-049,22/2/14,male,314114.3155,446735.0081,2014
317,14-m-050,7/2/14,male,314096.6209,446761.7629,2014
318,14-m-050,11/2/14,male,314096.6524,446761.2793,2014
319,14-m-051,8/2/14,male,314072.6282,446857.9361,2014
320,14-m-052,8/2/14,male,314073.3299,446826.5672,2014
321,14-m-052,18/4/14,male,313961.7251,446690.892,2014
322,14-m-052,20/4/14,male,313975.3192,446687.7181,2014
323,14-m-053,9/2/14,male,314076.3996,446800.556,2014
324,14-m-054,30/1/14,male,314104.6374,446719.4875,2014
325,14-m-054,10/2/14,male,314107.6361,446718.1066,2014
326,14-m-054,22/2/14,male,314106.5252,446717.1254,2014
327,14-m-055,10/2/14,male,313923.1079,446854.6746,2014
328,14-m-056,10/2/14,male,314076.1257,446799.0897,2014
329,14-m-058,11/2/14,male,314086.9614,446737.4955,2014
330,14-m-059,11/2/14,male,313944.9223,446661.4444,2014
331,14-m-059,14/3/14,male,313893.095,446644.6028,2014
332,14-m-059,27/3/14,female,313893.1805,446647.2516,2014
333,14-m-060,11/2/14,male,313948.814,446673.9505,2014
334,14-m-060,29/1/15,male,313958.1279,446685.3629,2015
335,14-m-060,30/1/15,male,313959.2872,446682.9443,2015
336,14-m-060,31/1/15,male,313959.4604,446683.1831,2015
337,14-m-060,3/2/15,male,313959.5453,446683.0512,2015
338,14-m-060,4/2/15,male,313957.4624,446684.3466,2015
339,14-m-061,29/1/14,male,314419.0921,446505.8121,2014
340,14-m-062,29/1/14,male,314455.9708,446574.2574,2014
341,14-m-062,4/4/14,male,314461.4162,446559.7963,2014
342,14-m-063,29/1/14,male,314492.329,446569.0632,2014
343,14-m-064,30/1/14,male,314164.9192,446673.1763,2014
344,14-m-065,31/1/14,male,313918.4076,446682.7364,2014
345,14-m-066,31/1/14,male,313951.1871,446687.9492,2014
346,14-m-067,31/1/14,male,313973.9384,446705.3452,2014
347,14-m-067,15/4/14,male,313971.3672,446715.2859,2014
348,14-m-068,14/4/14,male,313980.696,446824.0189,2014
349,14-m-069,15/4/14,male,313970.7778,446720.6818,2014
350,14-m-069,30/1/15,male,313964.4698,446718.0828,2015
351,14-m-070,6/2/14,male,313934.638,446819.0438,2014
352,14-m-070,8/2/14,male,313935.9279,446818.6678,2014
353,14-m-071,7/2/14,male,313971.4814,446816.7461,2014
354,14-m-071,8/2/14,male,313971.5902,446816.4858,2014
355,14-m-071,10/2/14,male,313971.8425,446816.6193,2014
356,14-m-071,30/1/15,male,313963.4427,446693.2154,2015
357,14-m-071,31/1/15,male,313965.2726,446694.5942,2015
358,14-m-071,5/2/15,male,313964.039,446695.9274,2015
359,14-m-071,8/2/15,male,313963.4006,446691.9471,2015
360,14-m-072,8/2/14,male,313917.7022,446855.3812,2014
361,14-m-073,9/2/14,male,313906.8436,446880.2144,2014
362,14-m-073,13/4/14,male,313924.4948,446853.7913,2014
363,14-m-074,10/2/14,male,313928.9872,446884.7676,2014
364,14-m-074,24/2/14,male,313924.2495,446887.4081,2014
365,14-m-074,2/3/14,male,313924.01,446886.9061,2014
366,14-m-075,12/2/14,male,313988.4956,446689.9853,2014
367,14-m-075,6/3/14,male,313977.886,446687.0183,2014
368,14-m-075,30/3/14,male,313976.8676,446688.3265,2014
369,14-m-075,16/4/14,male,313978.4023,446689.3373,2014
370,14-m-076,28/2/14,male,313969.5132,446653.3215,2014
371,14-m-076,14/3/14,male,313967.0108,446659.1435,2014
372,14-m-077,21/2/14,male,313858.0825,447021.7327,2014
373,14-m-078,21/2/14,male,313856.3782,447039.9981,2014
374,14-m-079,21/2/14,male,313857.929,447034.7242,2014
